FeatName,log2_expression
AOSC1103,0.02620284920159036
AOSC403,0.1593892525172388
AOSC477,0.09423234625436672
AOSC568,0.05120804977914073
AOSC658,0.33876894067460517
AOSC786,0.18118535406114017
AOSC1108,0.09743538942905153
AOSC414,0.13761358438645935
AOSC486,0.03175466168588722
AOSC580,0.022640145128337997
AOSC663,0.10248652287152964
AOSC792,0.17912619004002373
AOSC1120,-0.06791220654567778
AOSC422,0.051067917773273824
AOSC492,0.086055885903035
AOSC587,0.09397670431491156
AOSC681,0.1271407979131672
AOSC807,
AOSB1012,0.2220148301663299
AOSB1138,0.17017095371864044
AOSB551,0.2697999520847018
AOSB711,0.09940349718714848
AOSB865,0.24972887992091466
AOSC1020,0.25103685040324186
AOSB1028,0.15512588059856688
AOSB399,0.027012047557557775
AOSB564,0.045000546000725096
AOSB741,0.5462160937525335
AOSB875,0.12250351908037811
AOSC1050,0.08901470226551096
AOSB1061,0.16183814369576163
AOSB406,0.06604007010777886
AOSB586,0.09518688856497864
AOSB760,0.18306533697759406
AOSB913,0.15252472446167523
AOSC1056,0.11285866522977288
AOSC1098,0.2614502903865151
AOSC401,0.24532711234948004
AOSC475,0.04907252308973554
AOSC567,0.057337406965287434
AOSC638,0.21769562855160954
AOSC785,-0.21477144343497764
AOSC1104,0.16152010139220438
AOSC409,0.09429522198041967
AOSC481,0.1773904156843398
AOSC571,0.24984027684820506
AOSC661,0.21059456353377737
AOSC790,0.20629901978339815
AOSC1115,0.2177797235376506
AOSC420,0.04582707419974051
AOSC490,0.03895882421292931
AOSC584,0.1131125071981203
AOSC675,0.2911771078012649
AOSC797,0.3328335773452415
AOSB1002,0.24498423756603108
AOSB1137,0.2109813656189873
AOSB540,0.24618744193257447
AOSB694,0.19832546970074394
AOSB861,0.23078052587427988
AOSC1015,0.22723934603342288
AOSB1020,0.24554410575715657
AOSB392,0.15822610441399831
AOSB563,0.1612678067626935
AOSB717,0.20831998393874512
AOSB874,0.21746839065096346
AOSC1032,0.26727600920119954
AOSB1050,0.15631075571504288
AOSB404,-0.03196681770061076
AOSB574,0.2945131355900311
AOSB745,0.25284723264318926
AOSB892,0.20418938590882488
AOSC1054,0.18789424825254022
AOSC1123,0.8350725453252209
AOSC436,0.061811028326752844
AOSC499,0.16651496420127826
AOSC596,0.13674799618388248
AOSC708,0.11767779247468046
AOSC820,0.21258637213161266
AOSF1405,0.12927886816688977
AOSF1439,0.10501797838429275
AOSF1470,0.0726429171035739
AOSF1493,0.38486516105872043
AOSF1521,0.4775469197926698
AOSF410,0.10732742157497689
AOSF1408,0.1617103389394502
AOSF1445,0.20066628257637364
AOSF1473,0.22371865440279037
AOSF1497,0.06681804445144873
AOSF1524,0.14112544241509145
AOSF415,0.08590228642755389
AOSB1073,0.24070449156510362
AOSB437,0.04299420156802574
AOSB594,0.24016010613053482
AOSB764,0.14294885746760305
AOSB923,0.188251807786503
AOSC1063,0.14987934814680243
AOSF1273,0.11636048380254385
AOSF1292,0.04893176753549081
AOSF1315,0.04865326596085154
AOSF1338,0.0862089648010831
AOSF1361,0.8154966063782918
AOSF1385,0.03542623452306657
AOSF1276,0.10269983540496262
AOSF1295,0.13335528837877839
AOSF1317,0.03472738542341702
AOSF1343,0.12508175646425787
AOSF1364,0.2042640108183465
AOSF1388,0.10219993560965855
AOSC1122,0.21598912370220308
AOSC433,0.10863620085760836
AOSC495,0.04312840743481152
AOSC588,
AOSC689,0.18440456891819662
AOSC809,0.15745171531700836
AOSF1404,0.07009373328683192
AOSF1437,0.056020321981867474
AOSF1467,0.056279937562166656
AOSF1492,0.09330261906857465
AOSF1520,0.16295480596296102
AOSF404,0.1958416459466552
AOSF1406,0.09073421365061399
AOSF1442,0.11122023073040002
AOSF1472,0.053558765855677135
AOSF1494,0.10369180387818902
AOSF1522,0.13037196864391373
AOSF412,0.16133291680984985
AOSB1072,0.3983096299475495
AOSB407,0.1363159608141588
AOSB589,0.09050368029636761
AOSB763,0.13808781553378463
AOSB919,0.14747408811285814
AOSC1059,0.17185902603586933
AOSF1272,-0.016278208921766967
AOSF1291,0.06378103111758147
AOSF1314,0.0799380612848691
AOSF1337,0.06436849317184766
AOSF1359,0.08300403556146789
AOSF1384,0.05377458474903414
AOSF1275,0.05228134703890255
AOSF1294,-0.05377403619354615
AOSF1316,0.13153920954991782
AOSF1341,-0.005671054192171455
AOSF1363,0.08716616069101865
AOSF1387,0.08416592536859677
AOSF1416,0.29674444840638675
AOSF1451,0.0761828157820608
AOSF1475,0.12657863991556534
AOSF1499,0.08704841906829507
AOSF1528,0.19387727228871923
AOSF420,0.1077403505987826
AOSF1420,0.12739669057964648
AOSF1453,0.00010661836679786808
AOSF1477,0.08332131347375976
AOSF1501,0.12128419850781945
AOSF1531,0.01108638560406752
AOSF428,0.06442071534755797
CAON1200,0.09618346287766318
CAON1273,0.061196781067462944
CAON1349,
CAON1412,0.14058230237098826
CAON1502,0.07830759200917106
CAON1605,0.07623926564648398
AOSF1278,0.0007297371903800792
AOSF1298,0.07312274847117348
AOSF1319,0.02026532637866447
AOSF1346,0.02898859370575521
AOSF1366,0.06740923395415588
AOSF1392,-0.010839476668016814
AOSF1280,0.050891667691335934
AOSF1300,0.06952198429269149
AOSF1322,-0.026552160753102332
AOSF1348,0.030068187584976425
AOSF1370,0.06342676715316568
AOSF1395,0.04922701698915473
AOSF866,-0.02780548463851807
AOSF911,-0.0616150745790448
AOSF956,0.0546920059625169
AOSF993,0.014304368625998546
CAON1062,0.023272363850132007
CAON1109,0.1430032409329209
AOSF1409,0.23748503836102627
AOSF1447,0.1145501430137669
AOSF1474,0.047358635306789965
AOSF1498,0.16483846234360092
AOSF1525,0.225588660262982
AOSF419,0.09499226105386292
AOSF1418,0.1273920970423094
AOSF1452,0.10102985016024994
AOSF1476,-0.07544448698332609
AOSF1500,0.07990282803208183
AOSF1530,0.07454914304715032
AOSF427,0.09392351225646045
CAON1197,0.0824149352213815
CAON1268,0.058962658187213045
CAON1341,0.09383068531654927
CAON1411,-0.06960847915498981
CAON1500,0.06530163154925553
CAON1599,0.10855835872973107
AOSF1277,0.13453410533552848
AOSF1296,0.2443958317191656
AOSF1318,-0.04191381698977091
AOSF1344,0.28487711738220706
AOSF1365,0.05705492175973637
AOSF1389,0.14983283405387196
AOSF1279,0.24071864864741155
